country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",16-12-2025 21:00,26.9164092,75.7994901,PM10,44,123,83
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",16-12-2025 21:00,26.9164092,75.7994901,SO2,15,18,16
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",16-12-2025 21:00,26.9164092,75.7994901,OZONE,14,80,42
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur - RSPCB",16-12-2025 21:00,26.786682,75.827928,CO,26,152,74
India,Rajasthan,Jaipur,"Sector-2 Murlipura, Jaipur - RSPCB",16-12-2025 21:00,26.960669,75.771817,CO,26,129,67
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB",16-12-2025 21:00,28.108988,75.386577,NH3,5,15,11
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",16-12-2025 21:00,26.268249,73.0193853,NO2,7,17,11
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB",16-12-2025 21:00,26.29581,73.082283,PM2.5,20,123,56
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB",16-12-2025 21:00,26.29581,73.082283,PM10,53,166,90
India,Rajasthan,Jodhpur,"Jhalamand, Jodhpur - RSPCB",16-12-2025 21:00,26.215415,73.070156,OZONE,5,134,87
India,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",16-12-2025 21:00,26.9502929,75.730943,NO2,52,131,90
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",16-12-2025 21:00,26.912329,70.909168,OZONE,7,73,65
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB",16-12-2025 21:00,25.344694,72.626208,CO,30,122,74
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",16-12-2025 21:00,24.588397,76.172782,OZONE,4,157,85
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB",16-12-2025 21:00,25.03636,73.883502,SO2,3,39,12
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB",16-12-2025 21:00,25.03636,73.883502,CO,23,105,47
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB",16-12-2025 21:00,25.03636,73.883502,OZONE,5,172,107
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB",16-12-2025 21:00,27.608912,75.153302,SO2,3,13,7
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB",16-12-2025 21:00,27.608912,75.153302,CO,16,137,63
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB",16-12-2025 21:00,13.0664,80.2112,SO2,1,4,3
India,TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB",16-12-2025 21:00,13.1278,80.2642,PM10,50,129,103
India,TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB",16-12-2025 21:00,13.1278,80.2642,NH3,1,3,2
